Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions
12000-12600, 653608, 1140094, 18, 381, 303, 230
18000-18600, 1305739, 3540191, 18, 1019, 842, 401
24000-24600, 2357598, 6674169, 19, 1826, 1462, 649
30000-30600, 3702967, 5498589, 19, 1398, 970, 948
36000-36600, 5268883, 9590730, 18, 2423, 1652, 1333
42000-42600, 7062955, 21003434, 19, 5205, 4081, 1760
48000-48600, 10180619, 18321310, 19, 4276, 3206, 2374
54000-54600, 11784999, 23237065, 19, 5450, 3648, 2817
60000-60600, 14442690, 28825417, 18, 6774, 4628, 3359
66000-66600, 16661540, 30412389, 18, 7199, 4162, 4095
72000-72600, 18999122, 32629809, 18, 7606, 4488, 4473
78000-78600, 23406832, 43349533, 19, 9985, 6824, 5523
12000-12600, 954909, 1499849, 18, 487, 383, 311
18000-18600, 1867260, 3815509, 19, 1065, 838, 527
24000-24600, 2580734, 4524926, 18, 1180, 919, 702
30000-30600, 4332219, 7466058, 19, 1842, 1132, 1066
36000-36600, 7935154, 13396372, 19, 3344, 2262, 1984
42000-42600, 7199517, 14299371, 19, 3530, 1923, 1825
48000-48600, 16190623, 30614703, 19, 7017, 5899, 3751
54000-54600, 13816893, 22680779, 19, 5455, 3360, 3345
60000-60600, 13393645, 22455738, 19, 5434, 3743, 3246
66000-66600, 16852497, 35421240, 19, 8087, 6204, 3967
72000-72600, 18801267, 37301134, 18, 8813, 6462, 4431
78000-78600, 29119817, 119363130, 19, 25922, 22543, 6379
